Model,RMSE,MAE,R2,Target_Column,Time,Model_Filename
huber,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206192153,huber_20240206192153
RandomForestRegressor,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206192153,RandomForestRegressor_20240206192153
SVR,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206192153,SVR_20240206192153
DecisionTreeRegressor,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206192153,DecisionTreeRegressor_20240206192153
ElasticNet,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206192153,ElasticNet_20240206192153
lr,7059.043621901508,6286.453830757743,0.9024461774180498,Salary,20240206192153,lr_20240206192153
KNeighborsRegressor,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206192153,KNeighborsRegressor_20240206192153
gbr,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206192153,gbr_20240206192153
par,10337.393689672548,8946.432350920539,0.7907937413409627,Salary,20240206192153,par_20240206192153
GradientBoostingRegressor,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206192153,GradientBoostingRegressor_20240206192153
et,8373.62939201893,7530.954999999999,0.8627286099748676,Salary,20240206192153,et_20240206192153
svm,30858.02159705682,22673.776560880146,-0.8641837486109101,Salary,20240206192153,svm_20240206192153
BayesianRidge,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206192153,BayesianRidge_20240206192153
ada,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206192153,ada_20240206192153
en,7279.675009537161,6152.5952503535855,0.8962527621642433,Salary,20240206192153,en_20240206192153
dt,10052.248993799016,8640.166666666666,0.8021759743735162,Salary,20240206192153,dt_20240206192153
Ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206192153,Ridge_20240206192153
HuberRegressor,7158.53512194798,6283.573916083055,0.8996769145567763,Salary,20240206192153,HuberRegressor_20240206192153
AdaBoostRegressor,8982.075824127414,7322.645238095239,0.8420549592770756,Salary,20240206192153,AdaBoostRegressor_20240206192153
ard,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206192153,ard_20240206192153
rf,7982.551579097405,6872.007670634925,0.8752513004196268,Salary,20240206192153,rf_20240206192153
mlp,85984.58835989493,82979.29151956346,-13.474174136064567,Salary,20240206192153,mlp_20240206192153
SGDRegressor,7814.295176731165,6454.849877601802,0.8804547884998585,Salary,20240206192153,SGDRegressor_20240206192153
ARDRegression,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206192153,ARDRegression_20240206192153
NuSVR,23312.455061099783,19990.63024274415,-0.0639680439966785,Salary,20240206192153,NuSVR_20240206192153
knn,7096.287087860336,6091.099999999999,0.9014140752957686,Salary,20240206192153,knn_20240206192153
lasso,7059.067541656292,6286.423714244483,0.9024455162895476,Salary,20240206192153,lasso_20240206192153
br,7062.126376337664,6282.6880393318415,0.9023609533672274,Salary,20240206192153,br_20240206192153
NuSVR,23312.455061099783,19990.63024274415,-0.0639680439966785,Salary,20240206200455,NuSVR_20240206200455
AdaBoostRegressor,8973.22200198968,7347.596825396824,0.8423661853456839,Salary,20240206200455,AdaBoostRegressor_20240206200455
ridge,7069.289407005231,6274.687372409958,0.9021627846740266,Salary,20240206200455,ridge_20240206200455
ARDRegression,7062.1263763376655,6282.688039331846,0.9023609533672274,Salary,20240206200455,ARDRegression_20240206200455
GradientBoostingRegressor,9974.601877416386,8530.496269714582,0.8052202961617161,Salary,20240206200455,GradientBoostingRegressor_20240206200455
